2022-11-23 19:05:38.629 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-11-23 19:05:42.792 [main] INFO  com.lzp.SpringbootMyBatisApplication - Starting SpringbootMyBatisApplication using Java 1.8.0_201 on Lzping with PID 38560 (D:\Idea_workspace\springboot_all\springboot_MyBatis\target\classes started by Lzping in D:\Idea_workspace\springboot_all\springboot_MyBatis)
2022-11-23 19:05:42.794 [main] INFO  com.lzp.SpringbootMyBatisApplication - No active profile set, falling back to 1 default profile: "default"
2022-11-23 19:05:43.358 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-11-23 19:05:43.359 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
2022-11-23 19:05:43.359 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2022-11-23 19:05:43.359 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2022-11-23 19:05:43.360 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
2022-11-23 19:05:43.364 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-11-23 19:05:43.365 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-11-23 19:05:43.365 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2022-11-23 19:05:43.490 [main] INFO  o.a.c.c.C.[.[localhost].[/springbootMybatis] - Initializing Spring embedded WebApplicationContext
2022-11-23 19:05:43.490 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 675 ms
2022-11-23 19:05:43.539 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-11-23 19:05:43.605 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-11-23 19:05:43.957 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-11-23 19:05:43.967 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/springbootMybatis'
2022-11-23 19:05:43.974 [main] INFO  com.lzp.SpringbootMyBatisApplication - Started SpringbootMyBatisApplication in 1.417 seconds (JVM running for 2.004)
2022-11-23 19:05:50.003 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[.[localhost].[/springbootMybatis] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-11-23 19:05:50.003 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-11-23 19:05:50.004 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-11-23 19:09:12.348 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2022-11-23 19:09:20.221 [main] INFO  com.lzp.SpringbootMyBatisApplication - Starting SpringbootMyBatisApplication using Java 1.8.0_201 on Lzping with PID 40168 (D:\Idea_workspace\springboot_all\springboot_MyBatis\target\classes started by Lzping in D:\Idea_workspace\springboot_all\springboot_MyBatis)
2022-11-23 19:09:20.223 [main] INFO  com.lzp.SpringbootMyBatisApplication - No active profile set, falling back to 1 default profile: "default"
2022-11-23 19:09:20.852 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-11-23 19:09:20.852 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
2022-11-23 19:09:20.852 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
2022-11-23 19:09:20.852 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2022-11-23 19:09:20.856 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
2022-11-23 19:09:20.860 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-11-23 19:09:20.860 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-11-23 19:09:20.860 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2022-11-23 19:09:20.944 [main] INFO  o.a.c.c.C.[.[localhost].[/springbootMybatis] - Initializing Spring embedded WebApplicationContext
2022-11-23 19:09:20.944 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 687 ms
2022-11-23 19:09:20.993 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-11-23 19:09:21.055 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
